service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,0,0,37,1735,0.0,0.0,0.0,0.0
redis_energy_Anomaly_high,0,0,27,1745,0.0,0.0,0.0,0.0
ts-account-mongo_energy_Anomaly_high,0,0,76,1696,0.0,0.0,0.0,0.0
ts-admin-basic-info-service_energy_Anomaly_high,0,0,93,1679,0.0,0.0,0.0,0.0
ts-admin-order-service_energy_Anomaly_high,0,0,12,1760,0.0,0.0,0.0,0.0
ts-admin-route-service_energy_Anomaly_high,0,0,70,1702,0.0,0.0,0.0,0.0
ts-admin-travel-service_energy_Anomaly_high,0,0,92,1680,0.0,0.0,0.0,0.0
ts-admin-user-service_energy_Anomaly_high,1,0,18,1753,1.0,0.053,0.101,0.053
ts-assurance-mongo_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_high,0,0,1,1771,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,2,0,0,1770,1.0,1.0,1.0,1.0
ts-avatar-service_energy_Anomaly_high,0,0,13,1759,0.0,0.0,0.0,0.0
ts-basic-service_energy_Anomaly_high,11,0,8,1753,1.0,0.579,0.733,0.579
ts-cancel-service_energy_Anomaly_high,0,0,13,1759,0.0,0.0,0.0,0.0
ts-config-mongo_energy_Anomaly_high,0,0,46,1726,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_high,7,0,11,1754,1.0,0.389,0.56,0.389
ts-consign-mongo_energy_Anomaly_high,0,0,66,1706,0.0,0.0,0.0,0.0
ts-consign-price-mongo_energy_Anomaly_high,0,0,62,1710,0.0,0.0,0.0,0.0
ts-consign-price-service_energy_Anomaly_high,0,0,49,1723,0.0,0.0,0.0,0.0
ts-consign-service_energy_Anomaly_high,0,0,45,1727,0.0,0.0,0.0,0.0
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_high,0,0,12,1760,0.0,0.0,0.0,0.0
ts-food-map-mongo_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_high,0,0,69,1703,0.0,0.0,0.0,0.0
ts-inside-payment-service_energy_Anomaly_high,0,0,61,1711,0.0,0.0,0.0,0.0
ts-news-mongo_energy_Anomaly_high,0,0,67,1705,0.0,0.0,0.0,0.0
ts-news-service_energy_Anomaly_high,0,0,1,1771,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,0,0,20,1752,0.0,0.0,0.0,0.0
ts-order-mongo_energy_Anomaly_high,0,0,0,1772,0.0,0.0,0.0,0.0
