service_name,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1score,accuracy
rabbitmq_energy_Anomaly_high,0,0,14,1784,0.0,0.0,0.0,0.0
redis_energy_Anomaly_high,0,0,27,1771,0.0,0.0,0.0,0.0
ts-account-mongo_energy_Anomaly_high,0,0,57,1741,0.0,0.0,0.0,0.0
ts-admin-basic-info-service_energy_Anomaly_high,0,0,85,1713,0.0,0.0,0.0,0.0
ts-admin-order-service_energy_Anomaly_high,2,0,0,1796,1.0,1.0,1.0,1.0
ts-admin-route-service_energy_Anomaly_high,0,0,74,1724,0.0,0.0,0.0,0.0
ts-admin-travel-service_energy_Anomaly_high,0,0,79,1719,0.0,0.0,0.0,0.0
ts-admin-user-service_energy_Anomaly_high,2,0,6,1790,1.0,0.25,0.4,0.25
ts-assurance-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-assurance-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-auth-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-auth-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-avatar-service_energy_Anomaly_high,6,0,14,1778,1.0,0.3,0.462,0.3
ts-basic-service_energy_Anomaly_high,2,0,6,1790,1.0,0.25,0.4,0.25
ts-cancel-service_energy_Anomaly_high,0,0,5,1793,0.0,0.0,0.0,0.0
ts-config-mongo_energy_Anomaly_high,0,0,13,1785,0.0,0.0,0.0,0.0
ts-config-service_energy_Anomaly_high,2,0,15,1781,1.0,0.118,0.211,0.118
ts-consign-mongo_energy_Anomaly_high,0,0,58,1740,0.0,0.0,0.0,0.0
ts-consign-price-mongo_energy_Anomaly_high,0,0,39,1759,0.0,0.0,0.0,0.0
ts-consign-price-service_energy_Anomaly_high,0,0,24,1774,0.0,0.0,0.0,0.0
ts-consign-service_energy_Anomaly_high,0,0,18,1780,0.0,0.0,0.0,0.0
ts-contacts-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-contacts-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-execute-service_energy_Anomaly_high,0,0,6,1792,0.0,0.0,0.0,0.0
ts-food-map-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-map-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-food-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-inside-payment-mongo_energy_Anomaly_high,0,0,61,1737,0.0,0.0,0.0,0.0
ts-inside-payment-service_energy_Anomaly_high,10,0,21,1767,1.0,0.323,0.488,0.323
ts-news-mongo_energy_Anomaly_high,0,0,48,1750,0.0,0.0,0.0,0.0
ts-news-service_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-notification-service_energy_Anomaly_high,0,0,15,1783,0.0,0.0,0.0,0.0
ts-order-mongo_energy_Anomaly_high,0,0,0,1798,0.0,0.0,0.0,0.0
ts-order-other-mongo_energy_Anomaly_high,0,0,3,1795,0.0,0.0,0.0,0.0
